course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
Making MOOCs on a Budget (HE),https://www.classcentral.com/course/canvas-network-making-moocs-on-a-budget-he-7307,UC Berkeley Executive Education,https://www.classcentral.com/subject/education?page=6,Education & Teaching Courses,Self paced
การพัฒนาวิชาและจัดการเรียนการสอนออนไลน์บนระบบ OPEN EDX,https://www.classcentral.com/course/thaimooc-------open-edx-14968,UC Berkeley Executive Education,https://www.classcentral.com/university/su,Education & Teaching Courses,Self paced
High-Dimensional Data Analysis,https://www.classcentral.com/course/edx-high-dimensional-data-analysis-2949,Kellogg School of Management,https://www.classcentral.com/university/harvard,Data Science Courses,Self paced
Visualización de Datos y Storytelling,https://www.classcentral.com/course/edx-visualizacion-de-datos-y-storytelling-17205,Kellogg School of Management,https://www.classcentral.com/university/tecdemonterrey,Data Science Courses,Self paced
数据挖掘：理论与算法 | Data Mining: Theories and Algorithms for Tackling Big Data,https://www.classcentral.com/course/edx---data-mining-theories-and-algorithms-for-tackling-big-data-8130,Kellogg School of Management,https://www.classcentral.com/university/tsu,Data Science Courses,Self paced
Land on Vector Spaces with Python,https://www.classcentral.com/course/independent-land-on-vector-spaces-with-python-17123,UC Berkeley Executive Education,https://www.classcentral.com/university/gwu,Engineering Courses,Self paced
Introduction to Aeronautical Engineering,https://www.classcentral.com/course/edx-introduction-to-aeronautical-engineering-1491,UC Berkeley Executive Education,https://www.classcentral.com/university/delft,Engineering Courses,Self paced
Vacuum Systems and Technology,https://www.classcentral.com/course/edx-vacuum-systems-and-technology-7885,UC Berkeley Executive Education,https://www.classcentral.com/university/mephi,Engineering Courses,Self paced
品读道家的智慧,https://www.classcentral.com/course/daojiao-6220,Columbia Business School Executive Education,https://www.classcentral.com/university/xjtu,Humanities Courses,"22nd Jun, 2020"
Reasoning Across the Disciplines,https://www.classcentral.com/course/critical-reasoning-7411,Columbia Business School Executive Education,https://www.classcentral.com/university/unc,Humanities Courses,"22nd Jun, 2020"
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",https://www.classcentral.com/course/hi-five-social-peer-8303,UC Berkeley Executive Education,https://www.classcentral.com/university/columbia,Computer Science Courses,"15th Jun, 2020"
機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,https://www.classcentral.com/course/ntumlone-algorithmicfoundations-9737,UC Berkeley Executive Education,https://www.classcentral.com/university/taiwan,Computer Science Courses,"15th Jun, 2020"
Electricity & Magnetism,https://www.classcentral.com/course/edx-electricity-magnetism-925,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/rice,Science Courses,Self paced
Relativity and Astrophysics,https://www.classcentral.com/course/edx-relativity-and-astrophysics-1334,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/cornell,Science Courses,Self paced
Villes africaines I: Introduction à la planification urbaine,https://www.classcentral.com/course/villes-africaines-1-1282,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/epfl,Social Sciences Courses,"22nd Jun, 2020"
